B,C,G,J,L,N,P,R,T,V,X,Z,AB
0b503d84-2ed7-11ef-a183-99ad05e145f0,ポスト,信箱；职位,[sound:ポスト_ポ＼スト_1_NHK-2016-local.mp3],手紙をポストに入れる,把信投入邮筒里,[sound:hypertts-9fabfc9eb1a8e4058425facb2bd23ced8dcc25c65e0a9200e4e83228.mp3],重要なポストにつく,担任要职,[sound:hypertts-6ca08c5b4b3ccbebf482c0f80c266e2e2b7f872b78e7acdc5ac47d6c.mp3],,,
0b50457c-2ed7-11ef-a183-99ad05e145f0,ボタン,纽扣；按钮,[sound:ボタン_ボタン━_0_NHK-2016-local.mp3],ボタンが取れている,钮扣掉了,[sound:hypertts-0b23d6f495decc2739528e3b475503ea7b2a0be0fd24d494eae97267.mp3],このボタンを押すとスイッチが入る,按这个按钮就能打开开关,[sound:hypertts-d94fb176bb2044ae581f26596c6b2bf4ce87eb47700d3ae0c1634653.mp3],,,
0b505e7c-2ed7-11ef-a183-99ad05e145f0,ポテト,土豆，马铃薯,[sound:ポテト_ポ＼テト_1_NHK-2016-local.mp3],ポテトサラダ,土豆色拉,[sound:hypertts-2a7812f54812d6fa216fe7f1b47f8f91d4ffdf9c9022bcb6158bc8b2.mp3],,,,,,
0b506692-2ed7-11ef-a183-99ad05e145f0,ホテル,（西式）宾馆，旅馆,[sound:ホテル_ホ＼テル_1_NHK-2016-local.mp3],ホテルを予約する,预订旅馆,[sound:hypertts-173a0975bd5a170d972cb9cc64a2f56b9cb81201f1f2a9e529a137f6.mp3],,,,,,
0b508154-2ed7-11ef-a183-99ad05e145f0,まずい,难吃的,[sound:まずい_マズ＼イ_2_NHK-2016-local.mp3],このパンはまずいね,这面包真难吃,[sound:hypertts-1f5b3935502a0b8b0bcb6a505cbe435e367d880c7515f9ca3e4edb1d.mp3],,,,,,
0b50896a-2ed7-11ef-a183-99ad05e145f0,また,另外；又，再,[sound:また_マタ━_0_NHK-2016-local.mp3],また会いましょう,再见,[sound:hypertts-5b5b20ea7760aed9eb711f457089ebc53478e3cb0e6db9a90501b961.mp3],それはまたどうして？,这又是为什么呢？,[sound:hypertts-98ff088289c3f7ba36f30b106f2217aaecf633bfa51314d0923c1309.mp3],,,
0b509180-2ed7-11ef-a183-99ad05e145f0,まだ,还，仍然,[sound:まだ_マ＼ダ_1_NHK-2016-local.mp3],まだ完成していない,还没完成,[sound:hypertts-75893e99f230c31b3b919c712a4cb6198c669e13e6f392e8950c6c3b.mp3],,,,,,
0b5099c8-2ed7-11ef-a183-99ad05e145f0,まっすぐ,笔直；直接,[sound:まっすぐ_マッス＼ク゚_3_NHK-2016-local.mp3],まっすぐ家に帰る,直接回家,[sound:hypertts-6ad7da1189f0f2877142ac82746b6e6782b6e18340d873544a7cf014.mp3],まっすぐ前を見る,笔直向前看,[sound:hypertts-097ad69d3fb7f3c262064861becb78e698e5b23b458de81a5648b537.mp3],,,
0b50a1de-2ed7-11ef-a183-99ad05e145f0,マンション,（钢筋混凝土建造的）高级公寓，居民楼,[sound:マンション_マ＼ンション_1_NHK-2016-local.mp3],中古マンション,旧公寓,[sound:hypertts-06c53e20c1f925d04c3d5253ed729c92fe42130394ca471ffb820b6f.mp3],,,,,,
0b50aa08-2ed7-11ef-a183-99ad05e145f0,みそ汁,味噌汤,[sound:みそ汁_ミソシ＼ル_3_NHK-2016-local.mp3],今日のみそしるは味が薄い,今天的酱汤味道很淡,[sound:hypertts-7589391cf83479ace9f0a6932c05a3a06cf936994b1fd7dfbb641e4f.mp3],,,,,,
0b50b250-2ed7-11ef-a183-99ad05e145f0,ミルク,牛乳，牛奶,[sound:ミルク_ミ＼ルク_1_NHK-2016-local.mp3],ミルクコーヒー,牛奶咖啡,[sound:hypertts-9f7aa7ed142815f98622770945e1d5a676421b84235ff56d185cc323.mp3],,,,,,
0b50bcc8-2ed7-11ef-a183-99ad05e145f0,みんな,大家，诸位；全部,[sound:みんな_ミンナ━_0_NHK-2016-local.mp3],みんなにこれあげるよ,这个给大家,[sound:hypertts-1ff960d7768dd1b775c3cd4b2403311f9c5094ec573a27f9238e3441.mp3],みんなでいくらですか,一共多少钱？,[sound:hypertts-aa553ea9d301e593091b333bf4c09a349521e64fdb12a0da7acabb6a.mp3],,,
0b50c556-2ed7-11ef-a183-99ad05e145f0,メートル,米,[sound:メートル_メートル━_0_NHK-2016-local.mp3],100メートルを10秒で走る,用十秒跑完一百米,[sound:hypertts-164ec4f7b0582c740d6fdf2f421be5eb9d061794353d2dac99a39cc4.mp3],,,,,,
0b50cd6c-2ed7-11ef-a183-99ad05e145f0,メール,邮件；电子邮件,[sound:メール_メール━_0_NHK-2016-local.mp3],メールを送信する,发电子邮件,[sound:hypertts-4fdf1433252fbd54472e6561bba1b47f36c61d87166ae6f090eb1cf4.mp3],,,,,,
0b50d596-2ed7-11ef-a183-99ad05e145f0,メールアドレス,邮箱地址,[sound:メールアドレス_メールア＼ドレス_4_NHK-2016-local.mp3],彼のメールアドレスを知っていますか,你知道他的电子邮件地址吗？,[sound:hypertts-364a4d3cd604966c0cbe2007b8f4f6078ab498c92d3e7423acee8b59.mp3],,,,,,
0b50ddc0-2ed7-11ef-a183-99ad05e145f0,もう,已经；再,[sound:もう_モー━_0_NHK-2016-local.mp3],もう夜が明けた,天已经亮了,[sound:hypertts-30bc36c740a5c75584a8ec406b8b8ba42cc97724004044aa55bb7921.mp3],もう一度言ってください,请再说一遍,[sound:hypertts-cbb2dfd595bbbaf4c8182dba2b0effef0234078eaede26708dafa35d.mp3],,,
0b50e66c-2ed7-11ef-a183-99ad05e145f0,もしもし,（打电话时）喂,[sound:もしもし_モ＼シモシ_1_NHK-2016-local.mp3],もしもし、手袋が落ちましたよ,喂，你的手套掉了,[sound:hypertts-3bd7a9adda39563d7d316cc3f9a480c7eb8750c6a720e19704ad27cb.mp3],,,,,,
0b50eefa-2ed7-11ef-a183-99ad05e145f0,もっと,更加,[sound:もっと_モ＼ット_1_NHK-2016-local.mp3],もっとお金がほしい,想要更多的钱,[sound:hypertts-f7679ecb3857ab0df96329c88300a8e0f2d148ee2067e9d93a253f5e.mp3],,,,,,
0b50f6fc-2ed7-11ef-a183-99ad05e145f0,夕べ,昨晚,[sound:夕べ_ユーベ＼_3_NHK-2016-local.mp3],私は夕べいやな夢を見た,昨天晚上我做了一个噩梦,[sound:hypertts-d598c0512861cf9d4311985be03dd74abb1d817f01c191226b2ea95e.mp3],,,,,,
0b50fef4-2ed7-11ef-a183-99ad05e145f0,ゆっくり,缓慢地；悠闲地，舒服地,[sound:ゆっくり_ユック＼リ_3_NHK-2016-local.mp3],ゆっくり話す,慢慢地说,[sound:hypertts-5326d21f4ced6dcc0b5312abd3dd928887cdf5a658bf94d407eed3f2.mp3],,,,,,
0b510fd4-2ed7-11ef-a183-99ad05e145f0,ヨーロッパ,欧洲,[sound:ヨーロッパ_ヨーロ＼ッパ_3_NHK-2016-local.mp3],ヨーロッパ連合,欧洲联盟，欧盟，EU,[sound:hypertts-2c859528e95edb33cb9b4012cb26da0e9d8ca003757f0828ad13a2fb.mp3],,,,,,
0b5117d6-2ed7-11ef-a183-99ad05e145f0,ラーメン,拉面,[sound:ラーメン_ラ＼ーメン_1_NHK-2016-local.mp3],ラーメン屋,拉面店,[sound:hypertts-c92739a2b272baf87a017694f8797f064a62b3758e10464489744b25.mp3],,,,,,
0b511fb0-2ed7-11ef-a183-99ad05e145f0,ラジオ,收音机；广播,[sound:ラジオ_ラ＼ジオ_1_NHK-2016-local.mp3],ラジオをつける,开收音机,[sound:hypertts-166cb8316a7de0d756617eca7b16dac6f6ccde42c3242f3e60feafe8.mp3],,,,,,
0b5128e8-2ed7-11ef-a183-99ad05e145f0,ラジカセ,收录音机,[sound:ラジカセ_ラジカセ━_0_NHK-2016-local.mp3],CD付きラジカセ,激光唱盘收录机,[sound:hypertts-5b47019106e492c17b6959f09b3304e4f5eba6d89dc1945afd8bfe2e.mp3],,,,,,
0b513108-2ed7-11ef-a183-99ad05e145f0,りんご,苹果,[sound:りんご_リンコ゚━_0_NHK-2016-local.mp3],りんごをむく,削苹果皮,[sound:hypertts-e8acc64cbc188accf5209aedabcdcd60da72fd2cb5f733dce520efa8.mp3],,,,,,
0b5141e8-2ed7-11ef-a183-99ad05e145f0,レストラン,西餐厅，饭店,[sound:レストラン_レ＼ストラン_1_NHK-2016-local.mp3],このレストランは安くてうまい,这家餐厅价格便宜味道好,[sound:hypertts-bc5409d1b537c7f3113da4a11a2fe763daefad6899fd65be4d011f22.mp3],,,,,,
0b5149e0-2ed7-11ef-a183-99ad05e145f0,ワイシャツ,男式衬衫,[sound:ワイシャツ_ワイシャツ━_0_NHK-2016-local.mp3],ワイシャツにアイロンをかける,熨烫衬衫,[sound:hypertts-9ca5d00857b4759c054023853ff2461a3fafdbd2ef3b062d78cbdfc1.mp3],,,,,,
0b5151ce-2ed7-11ef-a183-99ad05e145f0,悪い,坏的；不好的，劣质的,[sound:悪い_ワル＼イ_2_NHK-2016-local.mp3],仲が悪い,关系不好,[sound:hypertts-4d5eea9ad526ac56373a222873b7fe13a3f94413e4e8b1a15517ad2b.mp3],悪い病気,恶性疾病,[sound:hypertts-d8b86fc8ca30137628c86d1f3d82d3b8a73cb5b390bd32d6f9b5530d.mp3],,,
0b5159e4-2ed7-11ef-a183-99ad05e145f0,安い,便宜的,[sound:安い_ヤス＼イ_2_NHK-2016-local.mp3],給料が安い,工资低,[sound:hypertts-39a97cceb9403727f4656ab6d51bc80e9a643d074474e7be97724f55.mp3],,,,,,
0b5161d2-2ed7-11ef-a183-99ad05e145f0,暗い,黑的；发暗的；阴沉的,[sound:暗い_クライ━_0_NHK-2016-local.mp3],道が暗い,路上一片漆黑,[sound:hypertts-b9baa9e67c1fa4bd60c608c7a86edad1cee2b939563b9d61ac22b145.mp3],暗い赤,深红,[sound:hypertts-9dd41174c6646c7f0d844b19f9ef131e534247e27daaacf5fb3f0cba.mp3],暗い音楽,阴沉的音乐,[sound:hypertts-a78b1d8ced05c13af98884068a17832581ea26db8a8def7a0a94ef5e.mp3]
0b517a64-2ed7-11ef-a183-99ad05e145f0,以前,以前，之前,[sound:以前_イ＼ゼン_1_NHK-2016-local.mp3],9時以前に着きます,九点以前到,[sound:hypertts-a3802e91d017ddfe6a598995f8802b80cf4632def773cac4668b896c.mp3],,,,,,
0b518cd4-2ed7-11ef-a183-99ad05e145f0,意味,意思；表示,[sound:意味_イ＼ミ_1_NHK-2016-local.mp3],単語の意味を調べる,查单词的意思,[sound:hypertts-e7233ff5906e66618e1de7ffb8bd772440ad7a6f5a1802c337706123.mp3],,,,,,
0b5194f4-2ed7-11ef-a183-99ad05e145f0,易しい,容易的；简单的,[sound:易しい_ヤサシイ━_0_NHK-2016-local.mp3],家でもできる易しい仕事,可以在家做的简单工作,[sound:hypertts-16cd1b58ad4316b12d9f3e3b60cea1ef270de16f993e66a4f061c15c.mp3],,,,,,
0b519d28-2ed7-11ef-a183-99ad05e145f0,椅子,椅子；地位,[sound:いす_イス━_0_NHK-2016-local.mp3],椅子に腰かける,坐在椅子上,[sound:hypertts-b40b772fa8a78befcbfd1688d41ff65d8ac4307b67c55dcb6be3515e.mp3],社長の椅子をめざす,觊觎社长的位置,[sound:hypertts-8abd6f9088cf157c141126801fc639a885233c9f2c0ab406881f3ca0.mp3],,,
0b51a520-2ed7-11ef-a183-99ad05e145f0,違う,不一样；错误,[sound:違う_チカ゚ウ━_0_NHK-2016-local.mp3],考え方が違う,想法不同,[sound:hypertts-bb072b05f5b624c8a4f40da7922984805e35ad2433411f2d50ea8ebb.mp3],言うこととすることが違う,言行不一,[sound:hypertts-98cd409e4ccce549601d06e606a73371f810d016f395ff8bfc7e8c95.mp3],,,
0b51ad68-2ed7-11ef-a183-99ad05e145f0,医者,医生,[sound:医者_イシャ━_0_NHK-2016-local.mp3],医者にかかる,看病,[sound:hypertts-86090374e3860d8f2ced1caf7655379b9dae7506d01b50dd00287fdd.mp3],,,,,,
0b51b59c-2ed7-11ef-a183-99ad05e145f0,一つ,一个；一岁,[sound:一つ_ヒト＼ツ_2_NHK-2016-local.mp3],二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十,其他1〜10个的说法,[sound:voicepeak-01-二つ・三つ・四つ・五つ・六つ・七つ・八つ-435.mp3],,,,,,
0b51bdbc-2ed7-11ef-a183-99ad05e145f0,一月,一个月,[sound:ひとつき_ヒト＼ツキ_2_NHK-2016-local.mp3],彼女は一月前に、アメリカから帰ってきました,她一个月前从美国回来了,[sound:hypertts-d0ea8d81aa37cfa4fb7900af31f457bd5dc26a0833463eae59aaea58.mp3],,,,,,
0b51c5d2-2ed7-11ef-a183-99ad05e145f0,一緒,同样的；一起,[sound:一緒_イッショ━_0_NHK-2016-local.mp3],彼女とは事務室が一緒だ,我和她一个办公室,[sound:hypertts-a1065243eb0aafc00e08a80f9b693f76cb238973ec0ce8296f885080.mp3],ぼくの意見もきみと一緒だ,我的意见也跟你一样,[sound:hypertts-e475f624d7541f44d022e0f740d0760c78df44cb7caefda61a91e466.mp3],,,
0b51ce38-2ed7-11ef-a183-99ad05e145f0,一人,一个人；独自,[sound:ひとり_ヒト＼リ_2_NHK-2016-local.mp3],子どもは一人だけです,只有一个孩子,[sound:hypertts-f7e311da59fb5e87cf8bed9d46245f5bf0c865ef6658d3d4f6c550d7.mp3],,,,,,
0b51d662-2ed7-11ef-a183-99ad05e145f0,一日[いちにち],一天；一整天；某一天,[sound:一日_イチニチ━_0_NHK-2016-local.mp3],一日3回服用,一天服用三次,[sound:hypertts-1a696556ffc5bf3ba2b9678f3ca5663fe99178794036bafb79874bba.mp3],,,,,,
0b51de96-2ed7-11ef-a183-99ad05e145f0,一日,一号，一个月的第一天,[sound:一日_ツイタチ━_0_NHK-2016-local.mp3],二日・三日・四日・五日・六日・七日・八日・九日・十日,其他1〜10日的叫法,[sound:voicepeak-02-二日・三日・四日・五日・六日・七日・八日-435.mp3],,,,,,
0b51e6ca-2ed7-11ef-a183-99ad05e145f0,一番,第一，最好；最,[sound:一番_イチ＼バン_2_NHK-2016-local.mp3],現場には私が一番に着いた,我第一个到了现场,[sound:hypertts-32b7e9fb151b2cb9f78003f445d3aaeb7baa023449cedc82a89c41e0.mp3],彼はクラスで一番だ,他在班里最优秀,[sound:hypertts-947d1aa6ffe58203720cabe005b157f06c2eb87b4206cf8f817b3d3e.mp3],,,
0b51ef08-2ed7-11ef-a183-99ad05e145f0,引く,拉；减；画（线）；吸引,[sound:引く_ヒク━_0_NHK-2016-local.mp3],ロープを引く,拉缆绳,[sound:hypertts-264db376a0808268144020b5a5b027f538dd6f225b0f554b79e13a62.mp3],5引く3は2,五减三等于二,[sound:hypertts-b9a658c0307c288f71733a06ece5369ba9482e94d6c36291a3385dfe.mp3],眉を引く,描眉,[sound:hypertts-58e95d18cd69f26eb66fd21251b4ec4014ad3ede56b3eea02c2e4b59.mp3]
0b51f82c-2ed7-11ef-a183-99ad05e145f0,飲み会,酒会，聚会,[sound:飲み会_ノミカイ━_0_NHK-2016-local.mp3],職場の飲み会,公司的酒会,[sound:hypertts-2d567f5c1e5056f6cfac645f8eb5c8d2839ee242751d326a6869889a.mp3],,,,,,
0b520092-2ed7-11ef-a183-99ad05e145f0,飲み物,饮料,[sound:飲み物_ノミ＼モノ_2_NHK-2016-local.mp3],何か飲み物をください,来点什么喝的吧,[sound:hypertts-2a51685bfdd22b6537b6b9987892dd5743aeff42f3cfd1e50dc0ea00.mp3],,,,,,
0b5208f8-2ed7-11ef-a183-99ad05e145f0,飲む,喝,[sound:飲む_ノ＼ム_1_NHK-2016-local.mp3],コーヒーを飲む,喝咖啡,[sound:hypertts-ee533af7187feb05a4eec61d9cfb0afbce3bd172a9aa5ef5537304c1.mp3],,,,,,
0b521910-2ed7-11ef-a183-99ad05e145f0,右,右边,[sound:右_ミキ゚━_0_NHK-2016-local.mp3],右に曲がる,向右拐弯,[sound:hypertts-304225235e92e1eb3939fa9ec59fdad3922a44cf3698a68866928a9e.mp3],,,,,,
0b522176-2ed7-11ef-a183-99ad05e145f0,雨,雨，雨天,[sound:雨_ア＼メ_1_NHK-2016-local.mp3],土砂降りの雨,瓢泼大雨,[sound:hypertts-ebede23407ec9c415310645099d01d3609cc32c72527af6a46e8e189.mp3],,,,,,
0b5231a2-2ed7-11ef-a183-99ad05e145f0,運動会,运动会,[sound:運動会_ウンド＼ーカイ_3_NHK-2016-local.mp3],学校の運動会,学校运动会,[sound:hypertts-f6c2f8635289170aa7b95d12f81fece2e9739ce7cc60f1f49744e92b.mp3],,,,,,
0b52577c-2ed7-11ef-a183-99ad05e145f0,運動場,运动场，操场,[sound:運動場_ウンドージョー━_0_NHK-2016-local.mp3],午後はよく運動場でスポーツをする,下午常常在操场运动,[sound:hypertts-8b1869557d12e37151192753071af96bea4a17c66fc9fe9646e3350b.mp3],,,,,,
0b526fe6-2ed7-11ef-a183-99ad05e145f0,映画,电影,[sound:映画_エーカ゚━_0_NHK-2016-local.mp3],映画を見に行く,看电影去,[sound:hypertts-aa84897b0f091ec7ab134b0e77350366d045a442fb23a3d46efcfe26.mp3],,,,,,
0b52793c-2ed7-11ef-a183-99ad05e145f0,映画館,电影院，剧院,[sound:映画館_エーカ゚＼カン_3_NHK-2016-local.mp3],映画館はもう満員だ,电影院人都满了,[sound:hypertts-72edcd7bf072851d1e17ae8542f2a69fd9801f59b450bc7b2a256e00.mp3],,,,,,
0b5281ca-2ed7-11ef-a183-99ad05e145f0,泳ぐ,游泳,[sound:泳ぐ_オヨ＼ク゚_2_NHK-2016-local.mp3],プールで泳ぐ,在游泳池游泳,[sound:hypertts-dd69b53029138849399dd1e0ad2e01dd1febdcba8e49cab2967bd410.mp3],,,,,,
0b528a6c-2ed7-11ef-a183-99ad05e145f0,英語,英语,[sound:英語_エーコ゚━_0_NHK-2016-local.mp3],英語を話す,说英语,[sound:hypertts-3466f3e0eb9174edd085e4797562773d1cf7ae11ae3c3d38c15ae36f.mp3],,,,,,
0b529318-2ed7-11ef-a183-99ad05e145f0,駅,车站,[sound:駅_エ＼キ_1_NHK-2016-local.mp3],次の駅はどこですか,下站是哪儿？,[sound:hypertts-9b6aefcebb8761e7215249aed2edcfa11d5de1dddc05e0935a6d485f.mp3],,,,,,
0b529b74-2ed7-11ef-a183-99ad05e145f0,駅前,（电车、地铁的）车站周边,[sound:駅前_エキマエ━_0_NHK-2016-local.mp3],駅前で車をとめた,把车停在车站前边,[sound:hypertts-fe307aa09fc0ca7f9e9e6de8f69b332ba8073bbce506b7987d99aab7.mp3],,,,,,
0b52a3d0-2ed7-11ef-a183-99ad05e145f0,円,圆形；日元,[sound:円_エ＼ン_1_NHK-2016-local.mp3],コンパスで円を描く,用圆规画圆,[sound:hypertts-7e63b3ba45f65aa0e487ae471ef7174880a0e7c5b1719be03325332a.mp3],円をドルに換える,把日元兑换成美元,[sound:hypertts-c18a0b5b6e46d1a34e9fde71f75d8e3c0d7f0fce94de3f165ec29df3.mp3],,,
0b52b44c-2ed7-11ef-a183-99ad05e145f0,遠い,远的,[sound:遠い_トーイ━_0_NHK-2016-local.mp3],駅は私の家からかなり遠い,火车站离我家相当远,[sound:hypertts-2b4fde536a838f411fdc7dde7d49f9a2cb350b339a55ea033bef650a.mp3],,,,,,
0b52bce4-2ed7-11ef-a183-99ad05e145f0,鉛筆,铅笔,[sound:鉛筆_エンピツ━_0_NHK-2016-local.mp3],鉛筆を削る,削铅笔,[sound:hypertts-1ede5c418b43b592963ac0859ee98a43a0fed24caff8d2816c8bf37a.mp3],,,,,,
0b52c4fa-2ed7-11ef-a183-99ad05e145f0,塩,食盐,[sound:塩_シオ＼_2_NHK-2016-local.mp3],そこの塩を取ってください,请把那儿的盐递给我,[sound:hypertts-5a1d2606ff6190f1c528fe47999b2f1fbbefbab43bdd7bd29df45cdb.mp3],,,,,,
0b52ce00-2ed7-11ef-a183-99ad05e145f0,汚い,脏的；凌乱的；卑鄙的,[sound:汚い_キタナ＼イ_3_NHK-2016-local.mp3],心の汚い人,心地卑鄙的人,[sound:hypertts-5994642265a2aa19f8b36139bc318c6e9566c96a4e34edf74ab456bf.mp3],水も空気も汚くなった,水和空气都受到了污染,[sound:hypertts-9526d811eb0d6667cebe946748b339f0f90d7308f33a7c31bae52f9a.mp3],,,
0b52d63e-2ed7-11ef-a183-99ad05e145f0,奥さん,您妻子；夫人，太太,[sound:奥さん_オ＼クサン_1_NHK-2016-local.mp3],先生の奥さん,师母,[sound:hypertts-4f3477ecd9701211a0860ff11708cede50a7676b0f95394d78a558fe.mp3],,,,,,
0b52de5e-2ed7-11ef-a183-99ad05e145f0,押す,压，按，摁,[sound:おす_オス━_0_NHK-2016-local.mp3],ボタンを押す,按按钮,[sound:hypertts-fa1b456f86fe7732861335226edff126ce9d5c7161f8fb3023b52bd3.mp3],,,,,,
0b52e700-2ed7-11ef-a183-99ad05e145f0,横,横；侧面；旁边,[sound:横_ヨコ━_0_NHK-2016-local.mp3],横になる,躺下,[sound:hypertts-bbf2db0a88bc5a8cdc73d959e694bdc02ee4dcffc1d16123691523d1.mp3],横に歩く,横着走,[sound:hypertts-0037318f0e99337f1a6e9dff03449672d12b857ec9e667984bca40c4.mp3],机の横に置く,放在桌子旁边,[sound:hypertts-4cdcb4fa36a4740d80f02d6200fda609674abf876cdbdaad88a45063.mp3]
0b52ef20-2ed7-11ef-a183-99ad05e145f0,横断歩道,人行横道,[sound:横断歩道_オーダンホ＼ドー_5_NHK-2016-local.mp3],横断歩道を渡る,过人行横道,[sound:hypertts-5ff61bd03e47a49e2a777737ff065acb7643d14f8d70167a2634bf71.mp3],,,,,,
0b52fa06-2ed7-11ef-a183-99ad05e145f0,黄色い,黄色的,[sound:黄色い_キイロイ━_0_NHK-2016-local.mp3],肌が黄色い,皮肤泛黄,[sound:hypertts-ff7d05e2048c28b57cd14f04b73b67d21f1c9c4f98b662932b125718.mp3],,,,,,
0b5312fc-2ed7-11ef-a183-99ad05e145f0,俺,（男性自称）我,[sound:俺_オレ━_0_NHK-2016-local.mp3],僕,（男性自称）我,[sound:僕_ボク━_0_NHK-2016-local.mp3],,,,,,
0b531af4-2ed7-11ef-a183-99ad05e145f0,温かい,温暖的，热情的,[sound:温かい_アタタカ＼イ_4_NHK-2016-local.mp3],温かいスープが飲みたい,想喝一口热汤,[sound:hypertts-2a6178590ab42697cc7862d7171d0d7a5a8d55dc7ce711968a63a910.mp3],,,,,,
0b532314-2ed7-11ef-a183-99ad05e145f0,温泉,温泉,[sound:温泉_オンセン━_0_NHK-2016-local.mp3],温泉に入る,洗温泉,[sound:hypertts-e2ed26af326cee7e96a32a467e8817ec8c27c8b5a1cf1752bd15fc0f.mp3],,,,,,
0b533368-2ed7-11ef-a183-99ad05e145f0,音楽,音乐,[sound:音楽_オンカ゚ク━_0_NHK-2016-local.mp3],音楽を聞く,听音乐,[sound:hypertts-c61061c586234c945ad8cc9c14f5b5bb373e834a891bc99156b14794.mp3],,,,,,
0b533bc4-2ed7-11ef-a183-99ad05e145f0,下,下面；里面；（年龄、地位、程度、能力等）低,[sound:した_シタ━_0_NHK-2016-local.mp3],屋上から下を見る,从房顶往下看,[sound:hypertts-0cbb25c1f7c268cc1ab7d8b789da072d3dac7a38f69a8a46a2d7f7a3.mp3],下にセーターを着る,里面穿一件毛衣,[sound:hypertts-846949316c6f37c0f12c9970b89aab7767271254662e5db658825aae.mp3],田中課長の下に20名のスタッフがいる,田中科长（手下）有二十名部下,[sound:hypertts-9917c3cbfe521cc43cd9cb515bfe93485e4870892ea1be58ad80d859.mp3]
0b5343da-2ed7-11ef-a183-99ad05e145f0,下手,不擅长，笨拙,[sound:下手_ヘタ＼_2_NHK-2016-local.mp3],字が下手だ,字写得难看,[sound:hypertts-15811ccef1adad21a01e034baf0d37646e779c0a8011eca5d55ffcaf.mp3],,,,,,
0b534be6-2ed7-11ef-a183-99ad05e145f0,何[なに],什么,[sound:なに_ナ＼ニ_1_NHK-2016-local.mp3],何がほしいですか,你要什么？,[sound:hypertts-1422cc45d3d64148f6ca62f891d80b6b7f4c2dea47a130d8c3fa15ac.mp3],,,,,,
0b535406-2ed7-11ef-a183-99ad05e145f0,何[なん],什么,[sound:何_ナ＼ン_1_NHK-2016-local.mp3],何と言っても,不管怎么说,[sound:hypertts-349201600722d21e2a024aec87458808c6759af8435e5be9dd0b7a6f.mp3],,,,,,
0b535c4e-2ed7-11ef-a183-99ad05e145f0,何か,（不确定的）什么，某些,[sound:何か_ナ＼ニカ_1_NHK-2016-local.mp3],何か食べたい,想吃点什么,[sound:hypertts-ed141c0d61ca138cc0eae403f684765489ca417abecdb5a4e38be16c.mp3],,,,,,
0b536cac-2ed7-11ef-a183-99ad05e145f0,夏,夏天，夏季,[sound:夏_ナツ＼_2_NHK-2016-local.mp3],真夏,盛夏,[sound:hypertts-f191e9bfa9edece88c6740cb91a287de27f6cef5712af1fab41809b0.mp3],,,,,,
0b5374e0-2ed7-11ef-a183-99ad05e145f0,夏休み,暑假,[sound:夏休み_ナツヤ＼スミ_3_NHK-2016-local.mp3],夏休みが始まる,放暑假；暑假开始,[sound:hypertts-7ed149c15c9428c8b80870a24ad633f2e2c4ae6678f8f39a5fbf69dd.mp3],,,,,,
0b537d0a-2ed7-11ef-a183-99ad05e145f0,家[いえ],房子；家庭,[sound:家_イエ＼_2_NHK-2016-local.mp3],家を探す,找房子,[sound:hypertts-e8e47a9cc2fa7e5ecabed73cde1006d7f1b259092c1895524d0c5d52.mp3],,,,,,
0b538502-2ed7-11ef-a183-99ad05e145f0,家[うち],家，家庭；自己家（家人）,[sound:家_ウチ━_0_NHK-2016-local.mp3],うちへ帰る,回家,[sound:hypertts-64a85c2e5433207fab6739dbde82540338c3e6af01fe832c9a0fdb9a.mp3],うちの父は公務員です,我父亲是公务员,[sound:hypertts-d74aea25734ce0db6df66a1fe610cd511252145c898e00fff73c2121.mp3],,,
0b538d2c-2ed7-11ef-a183-99ad05e145f0,家具,家具,[sound:家具_カ＼ク゚_1_NHK-2016-local.mp3],家具を設置する,摆设家具,[sound:hypertts-f17ad38a31a56dd994571527a36edc8035508ea582540f53a8d8c757.mp3],,,,,,
0b539538-2ed7-11ef-a183-99ad05e145f0,家族,家族，家属,[sound:家族_カ＼ゾク_1_NHK-2016-local.mp3],何人家族ですか,家里有几口人？,[sound:hypertts-c2eec5bd6ece22690df3d73ac39b8b4f94a3bd379ba4d3b6cb6ba570.mp3],,,,,,
0b539d4e-2ed7-11ef-a183-99ad05e145f0,家庭,家庭,[sound:家庭_カテー━_0_NHK-2016-local.mp3],家庭を離れる,离开家庭,[sound:hypertts-88e3d729629bb5d0ea93fcdd6c068df0c41a78d92fffe5f107667cc0.mp3],,,,,,
0b53a5b4-2ed7-11ef-a183-99ad05e145f0,暇,闲空，余暇,[sound:暇_ヒマ━_0_NHK-2016-local.mp3],忙しくてお昼を食べる暇もない,忙得连吃午饭的时间都没有,[sound:hypertts-bc7261ae559dd61fd7ff852fac2854426fa9c6790702927b008ddb1b.mp3],,,,,,
0b53add4-2ed7-11ef-a183-99ad05e145f0,果物,水果,[sound:果物_クダ＼モノ_2_NHK-2016-local.mp3],果物ナイフ,水果刀,[sound:hypertts-180161855dd3f5001726bdac3d8dd1871bfdbec21f92493b7b594943.mp3],,,,,,
0b53b5c2-2ed7-11ef-a183-99ad05e145f0,歌,歌曲；诗歌,[sound:歌_ウタ＼_2_NHK-2016-local.mp3],彼女は歌がうまい,她唱得很好,[sound:hypertts-c1313c4af7d579371de84a54e851fa7fe49aeb8b061df03d509aedc5.mp3],,,,,,
